epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.839,1.79926,2.72693,1.78539,0.28003,0.24989,0.18401,0.06862,2.09741,3.04421,2.18425,0.00047442,0.00047442,0.00047442
2,286.807,1.83167,2.31565,1.82005,0.33583,0.28387,0.23883,0.09726,2.02478,2.45761,2.07536,0.000927223,0.000927223,0.000927223
3,430.894,1.80689,2.18785,1.80913,0.36513,0.28585,0.26155,0.11565,1.95556,2.30576,2.01324,0.00135645,0.00135645,0.00135645
4,572.644,1.79798,2.13996,1.80826,0.37748,0.32295,0.28685,0.12271,1.96466,2.11794,1.95511,0.0013229,0.0013229,0.0013229
5,716.455,1.76827,2.07261,1.78028,0.37955,0.32497,0.29295,0.12363,1.94908,2.09018,1.97988,0.00128753,0.00128753,0.00128753
6,856.342,1.75076,2.02518,1.76182,0.40194,0.28495,0.27179,0.12151,1.91672,2.14689,1.94711,0.00125216,0.00125216,0.00125216
7,984.212,1.72191,1.99429,1.75815,0.4641,0.34959,0.35175,0.16143,1.86432,1.95215,1.948,0.00121679,0.00121679,0.00121679
8,1112.24,1.70173,1.95483,1.74246,0.42833,0.3573,0.3452,0.15595,1.86351,1.95843,1.88425,0.00118143,0.00118143,0.00118143
9,1240.11,1.6937,1.92868,1.72638,0.45584,0.36661,0.36161,0.16792,1.8467,1.90121,1.86497,0.00114606,0.00114606,0.00114606
10,1370.5,1.68793,1.91655,1.71996,0.42861,0.36006,0.34833,0.16176,1.83767,1.92857,1.87406,0.00111069,0.00111069,0.00111069
11,1498.09,1.67868,1.89248,1.70747,0.4457,0.36692,0.3589,0.16633,1.8634,1.9039,1.92264,0.00107532,0.00107532,0.00107532
12,1614.39,1.66406,1.8671,1.69749,0.46772,0.37786,0.38558,0.18537,1.78575,1.80799,1.82564,0.00103995,0.00103995,0.00103995
13,1729.01,1.64779,1.84108,1.69441,0.45281,0.37604,0.37209,0.17739,1.78582,1.85864,1.845,0.00100459,0.00100459,0.00100459
14,1845.95,1.64813,1.83473,1.68683,0.45502,0.36602,0.36415,0.17273,1.82044,1.8698,1.85536,0.000969219,0.000969219,0.000969219
15,1960.5,1.65002,1.83223,1.68753,0.46644,0.40214,0.40737,0.1949,1.76587,1.77486,1.79211,0.000933851,0.000933851,0.000933851
16,2077.71,1.63444,1.80002,1.67605,0.48244,0.39392,0.38812,0.18198,1.7759,1.89213,1.80133,0.000898484,0.000898484,0.000898484
17,2192.5,1.63787,1.79408,1.67456,0.48891,0.40236,0.41756,0.20195,1.72942,1.71778,1.7779,0.000863116,0.000863116,0.000863116
18,2308.28,1.62003,1.78769,1.66687,0.49922,0.39472,0.41555,0.20735,1.73286,1.70137,1.80512,0.000827748,0.000827748,0.000827748
